label,cluster,insurance_category
Agricultural Equipment Services,24,Agricultural Services
Soil Nutrient Application Services,35,Soil
Pesticide Application Services,35,Soil
Ornamental Plant Nurseries,19,Accessory Manufacturing
Landscaping Services,16,Property Management Services
Gardening Services,20,Volunteering Services
Tree Services - Pruning / Removal,34,Tree Services
Veterinary Services,12,Veterinary Services
Veterinary Clinics,12,Veterinary Services
Pet Boarding Services,12,Veterinary Services
Animal Day Care Services,12,Veterinary Services
Pet Grooming Services,12,Veterinary Services
Animal Training Services,12,Veterinary Services
Veterinary Health Centers,12,Veterinary Services
Animal Trainers,12,Veterinary Services
Livestock Dealer Services,6,Animal Food Processing
Timber Harvesting Operations,6,Animal Food Processing
Fishing and Hunting Services,6,Animal Food Processing
Well Maintenance Services,33,Fire Protection
Field Welding Services,8,Gas Installation
Sand and Gravel Mining,22,Excavation
Residential Driveway Construction,25,Road Construction
Commercial Driveway Construction,25,Road Construction
Fencing Construction Services,4,Construction Services
Sidewalk Construction Services,25,Road Construction
Commercial Irrigation Systems,13,Plumbing Services
Residential Drainage Systems,31,Drainage
Residential Snow Removal,14,Snow Removal Services
Commercial Snow Removal,14,Snow Removal Services
General Snow Removal Services,14,Snow Removal Services
Land Leveling Services,22,Excavation
Residential Drain Cleaning,31,Drainage
Commercial Drain Cleaning,31,Drainage
Street Cleaning Operations,1,Cleaning Operations
Conveyor System Installation,24,Agricultural Services
Low-Rise Signage Installation,7,Signage Installation
High-Rise Signage Installation,7,Signage Installation
Tank Installation Services,27,Boiler Installation
Residential Communication Equipment Installation,10,Communication Equipment
Commercial Communication Equipment Installation,10,Communication Equipment
Low-Rise Glass Installation,36,Glass Installation
High-Rise Glass Installation,36,Glass Installation
Industrial Machinery Installation,24,Agricultural Services
Agricultural Machinery Installation,24,Agricultural Services
Grain Handling Machinery Installation,24,Agricultural Services
Dock and Pier Construction,25,Road Construction
Road and Highway Construction,25,Road Construction
Road Maintenance Services,33,Fire Protection
Pipeline Construction Services,4,Construction Services
New Ground Pipeline Installation,29,Foundation Construction
Excavation Services,22,Excavation
Residential Plumbing Services,13,Plumbing Services
Commercial Plumbing Services,13,Plumbing Services
Industrial Plumbing Services,13,Plumbing Services
Boiler Installation Services,27,Boiler Installation
Boiler Repair Services,27,Boiler Installation
Steam Services,20,Volunteering Services
Gas Installation Services,8,Gas Installation
Medical Gas Installation Services,8,Gas Installation
Fire Protection System Services,33,Fire Protection
HVAC Installation and Service,5,House Services
HVAC Inspections,5,House Services
Air Duct Cleaning Services,5,House Services
Water Treatment Services,13,Plumbing Services
Residential Electrical Services,38,Electrical Services
Commercial Electrical Services,38,Electrical Services
Alarm Installation Services,5,House Services
Electric Line Construction,38,Electrical Services
Cable Installation Services,10,Communication Equipment
Elevator Installation Services,5,House Services
Low-Rise Foundation Construction,29,Foundation Construction
High-Rise Foundation Construction,29,Foundation Construction
Precast Concrete Installation,25,Road Construction
Tilt-Up Concrete Services,4,Construction Services
Masonry Construction Services,4,Construction Services
Drywall Services,2,Manufacturing Services
